window,window_start,packet_count,bytes_total,bytes_mean,bytes_std,bytes_min,bytes_max,ttl_mean,ttl_std,syn_count,syn_ratio,unique_src_ip,unique_dst_ip,unique_dst_port,unique_src_port,proto_tcp,proto_udp,proto_icmp,packets_per_sec,bytes_per_sec,src_entropy,dst_port_entropy,anomaly_score,is_anomaly,true_label,rule_alert,rule_alerts_detail,is_alert
0,1779557684.090299,101,43734,433.009900990099,199.41165939079414,40,964,97.10891089108911,19.62085675504462,23,0.22772277227722773,43,1,7,101,69,26,6,50.5,21867.0,5.227483818488622,2.7789449053107727,0.04583828679240759,False,0,False,[],False
1,1779557686.090299,105,41306,393.3904761904762,180.05028652478083,40,908,96.95238095238095,18.879364473689336,16,0.1523809523809524,40,1,7,105,68,28,9,52.5,20653.0,5.158080307575352,2.7682907404204014,0.022809139956453728,False,0,False,[],False
2,1779557688.090299,112,46080,411.42857142857144,175.35548010126288,40,951,98.25,17.69893364732046,23,0.20535714285714285,45,1,7,112,74,30,8,56.0,23040.0,5.275525563309777,2.7869628420693586,0.001510347317824401,False,0,False,[],False
3,1779557690.090299,110,41346,375.8727272727273,178.02020857817945,40,1061,95.69090909090909,17.88123174468851,19,0.17272727272727273,46,1,7,110,75,31,4,55.0,20673.0,5.351147774775063,2.755483865775418,0.0006732543550351244,False,0,False,[],False
4,1779557692.090299,104,39848,383.15384615384613,195.15932098566995,40,936,96.1826923076923,18.412619365652628,19,0.18269230769230768,45,1,7,104,78,21,5,52.0,19924.0,5.312903533535522,2.7907722050455392,0.03964054995016403,False,0,False,[],False
5,1779557694.090299,102,41671,408.53921568627453,197.53278567670873,40,834,99.46078431372548,19.17696202859275,20,0.19607843137254902,44,1,7,102,63,32,7,51.0,20835.5,5.218946478873334,2.7605143475605924,0.06196019715614781,False,0,False,[],False
6,1779557696.090299,95,36888,388.29473684210524,196.93134529383207,40,914,96.48421052631579,18.816506536896785,17,0.17894736842105263,43,1,7,95,70,24,1,47.5,18444.0,5.2195615918659355,2.768862588630069,0.07007015770223035,False,0,False,[],False
7,1779557698.090299,98,39081,398.7857142857143,179.24010562348352,40,807,96.85714285714286,17.564608276802698,16,0.16326530612244897,47,1,7,98,71,23,4,49.0,19540.5,5.3911036842913305,2.79306768650806,0.017719322442322882,False,0,False,[],False
8,1779557700.090299,92,33669,365.9673913043478,187.94922456051833,40,910,98.45652173913044,19.558541622680245,17,0.18478260869565216,43,1,7,92,63,24,5,46.0,16834.5,5.144280939097109,2.7762806958777237,0.061491124397582864,False,0,False,[],False
9,1779557702.090299,117,41972,358.7350427350427,181.59401446360167,40,866,100.00854700854701,18.872300321432473,25,0.21367521367521367,44,1,7,116,86,28,3,58.5,20986.0,5.223490329206468,2.7750824095130002,-0.0013700531018762674,True,0,False,[],True
10,1779557704.090299,90,36125,401.3888888888889,195.02622666872062,40,870,93.85555555555555,17.22655456764816,19,0.2111111111111111,45,1,7,89,69,17,4,45.0,18062.5,5.363532256263828,2.733217420159992,0.05731578665022896,False,0,False,[],False
