window,window_start,packet_count,bytes_total,bytes_mean,bytes_std,bytes_min,bytes_max,ttl_mean,ttl_std,syn_count,syn_ratio,unique_src_ip,unique_dst_ip,unique_dst_port,unique_src_port,proto_tcp,proto_udp,proto_icmp,packets_per_sec,bytes_per_sec,src_entropy,dst_port_entropy,anomaly_score,is_anomaly,rule_alert,rule_alerts_detail,is_alert,true_label,precision,recall,f1_score
0,1779278007.6312523,500,176084,352.168,437.70307714646805,40,1479,93.964,18.35113708915417,346,0.692,302,1,5,305,389,50,61,250.0,88042.0,7.895118330700933,1.5720670398751801,-0.2966609772791914,True,False,[],True,1,0.5,1.0,0.6666666666666666
1,1779278009.6312523,200,154419,772.095,413.5641698551021,42,1477,95.93,18.648429413706396,35,0.175,47,1,5,5,73,58,69,100.0,77209.5,5.381601152837338,2.318774563596749,0.044292814737079966,False,False,[],False,0,0.5,1.0,0.6666666666666666
2,1779278011.6312523,200,161771,808.855,453.22682705108485,50,1498,96.785,17.893845970558996,40,0.2,49,1,5,5,84,59,57,100.0,80885.5,5.451290502068282,2.314134563776104,-0.008431412005287742,True,False,[],True,0,0.5,1.0,0.6666666666666666
3,1779278013.6312523,200,148199,740.995,402.8500537470736,58,1491,94.19,18.442465198911595,41,0.205,47,1,5,5,82,55,63,100.0,74099.5,5.377805346900855,2.3080403923523005,0.015658336581248655,False,False,[],False,0,0.5,1.0,0.6666666666666666
4,1779278015.6312523,200,154413,772.065,414.6334832138018,43,1479,96.715,17.677563640994396,39,0.195,48,1,5,5,86,54,60,100.0,77206.5,5.399931813903596,2.312040225070308,0.11292028766416246,False,False,[],False,0,0.5,1.0,0.6666666666666666
5,1779278017.6312523,200,155734,778.67,418.9109727801098,41,1499,95.88,18.69661512374438,44,0.22,49,1,5,5,82,64,54,100.0,77867.0,5.4603373591415645,2.3144859430340174,0.11417824556823475,False,False,[],False,0,0.5,1.0,0.6666666666666666
6,1779278019.6312523,200,149531,747.655,404.9920601926604,53,1483,95.34,19.23602148608348,38,0.19,48,1,5,5,76,68,56,100.0,74765.5,5.3964483092393625,2.3196076896787328,0.061145123872086926,False,False,[],False,0,0.5,1.0,0.6666666666666666
7,1779278021.6312523,200,155063,775.315,419.66808585646845,41,1491,95.55,17.8031531282111,45,0.225,49,1,5,5,84,59,57,100.0,77531.5,5.393484136952885,2.31599101197081,0.119499239058664,False,False,[],False,0,0.5,1.0,0.6666666666666666
8,1779278023.6312523,200,152961,764.805,429.2441726731643,46,1500,94.745,19.221271063759875,40,0.2,49,1,5,5,87,57,56,100.0,76480.5,5.436144481831084,2.2820460980859814,0.08146453367151374,False,False,[],False,0,0.5,1.0,0.6666666666666666
9,1779278025.6312523,200,153279,766.395,436.0306210433359,41,1496,96.63,19.058837752665088,50,0.25,49,1,5,5,83,57,60,100.0,76639.5,5.4372714688811286,2.3142806145346486,0.0813283656633797,False,False,[],False,0,0.5,1.0,0.6666666666666666
