timestamp,src_ip,dst_ip,proto,length,ttl,src_port,dst_port,flags,tcp_window,attack_type,window_idx
1779557684.090299,192.168.1.36,192.168.1.100,6,264,119,39900,8080,A,62515.0,,0
1779557684.131852,192.168.1.36,192.168.1.100,17,523,94,56614,8443,,,,0
1779557684.145458,192.168.1.18,192.168.1.100,6,538,114,54652,22,S,33941.0,,0
1779557684.157348,192.168.1.20,192.168.1.100,17,688,113,40677,8080,,,,0
1779557684.170815,192.168.1.17,192.168.1.100,17,331,66,46001,22,,,,0
1779557684.177057,192.168.1.8,192.168.1.100,6,470,83,46429,3306,FA,10368.0,,0
1779557684.200968,192.168.1.22,192.168.1.100,17,355,123,43501,8443,,,,0
1779557684.266665,192.168.1.29,192.168.1.100,1,564,120,56692,80,,,,0
1779557684.318659,192.168.1.32,192.168.1.100,17,501,126,56785,22,,,,0
1779557684.338299,192.168.1.21,192.168.1.100,6,504,83,35377,80,FA,37419.0,,0
1779557684.356323,192.168.1.27,192.168.1.100,6,327,76,52337,8443,A,13587.0,,0
1779557684.363745,192.168.1.6,192.168.1.100,17,129,119,57516,3306,,,,0
1779557684.369142,192.168.1.3,192.168.1.100,6,964,78,35601,8080,A,11867.0,,0
1779557684.42056,192.168.1.49,192.168.1.100,6,40,73,44871,80,A,52072.0,,0
1779557684.429139,192.168.1.18,192.168.1.100,6,529,89,38109,80,A,25155.0,,0
1779557684.482462,192.168.1.46,192.168.1.100,6,146,109,31428,8443,SA,19995.0,,0
1779557684.517902,192.168.1.35,192.168.1.100,6,397,99,31453,8443,SA,55526.0,,0
1779557684.518303,192.168.1.34,192.168.1.100,17,287,113,47030,3306,,,,0
1779557684.52769,192.168.1.19,192.168.1.100,17,40,84,50247,443,,,,0
1779557684.535601,192.168.1.11,192.168.1.100,1,553,64,38253,8443,,,,0
1779557684.545682,192.168.1.47,192.168.1.100,6,346,65,56216,3306,A,48241.0,,0
1779557684.548997,192.168.1.17,192.168.1.100,1,512,73,44379,22,,,,0
1779557684.557531,192.168.1.36,192.168.1.100,6,244,73,45221,8443,A,23740.0,,0
1779557684.571505,192.168.1.38,192.168.1.100,6,367,71,49518,443,A,18367.0,,0
1779557684.577035,192.168.1.24,192.168.1.100,6,445,90,31142,80,PA,57827.0,,0
1779557684.582527,192.168.1.38,192.168.1.100,17,490,67,50610,3306,,,,0
1779557684.614802,192.168.1.24,192.168.1.100,6,487,111,31022,443,A,22696.0,,0
1779557684.615548,192.168.1.24,192.168.1.100,6,281,128,33223,3306,PA,19251.0,,0
1779557684.635849,192.168.1.30,192.168.1.100,6,746,86,37945,80,SA,18785.0,,0
1779557684.64601,192.168.1.7,192.168.1.100,17,329,92,57914,80,,,,0
1779557684.663352,192.168.1.43,192.168.1.100,17,454,114,40574,8443,,,,0
1779557684.680932,192.168.1.46,192.168.1.100,6,419,73,47452,443,PA,18242.0,,0
1779557684.685981,192.168.1.36,192.168.1.100,1,130,117,44312,3306,,,,0
1779557684.69811,192.168.1.34,192.168.1.100,17,747,100,52804,3306,,,,0
1779557684.703909,192.168.1.4,192.168.1.100,17,426,86,31296,80,,,,0
1779557684.747975,192.168.1.46,192.168.1.100,6,592,76,50702,8080,FA,57759.0,,0
1779557684.757169,192.168.1.17,192.168.1.100,17,445,73,57918,443,,,,0
1779557684.796551,192.168.1.44,192.168.1.100,6,725,98,39147,8080,A,59468.0,,0
1779557684.796849,192.168.1.20,192.168.1.100,6,603,127,48592,3306,A,38196.0,,0
1779557684.843529,192.168.1.23,192.168.1.100,17,651,92,49071,22,,,,0
1779557684.860488,192.168.1.38,192.168.1.100,6,470,110,48111,8080,SA,34671.0,,0
1779557684.872001,192.168.1.23,192.168.1.100,6,668,121,33573,3306,S,56162.0,,0
1779557684.889548,192.168.1.38,192.168.1.100,6,584,89,39772,3306,SA,8576.0,,0
1779557684.916116,192.168.1.39,192.168.1.100,17,576,66,31021,8080,,,,0
1779557684.939257,192.168.1.36,192.168.1.100,6,358,98,58618,80,A,32583.0,,0
1779557684.943346,192.168.1.27,192.168.1.100,6,847,80,38323,3306,S,29603.0,,0
1779557685.009479,192.168.1.28,192.168.1.100,6,431,119,56713,3306,SA,62545.0,,0
1779557685.04768,192.168.1.30,192.168.1.100,17,166,73,38821,80,,,,0
1779557685.049891,192.168.1.35,192.168.1.100,6,340,115,35400,80,SA,25446.0,,0
1779557685.053558,192.168.1.26,192.168.1.100,6,60,112,37631,8080,A,44006.0,,0
1779557685.074262,192.168.1.3,192.168.1.100,6,608,77,31466,80,A,23915.0,,0
1779557685.104375,192.168.1.42,192.168.1.100,6,297,96,59322,8080,SA,29671.0,,0
1779557685.107868,192.168.1.17,192.168.1.100,17,157,71,37673,8443,,,,0
1779557685.12192,192.168.1.32,192.168.1.100,6,673,122,43824,53,SA,62641.0,,0
1779557685.14286,192.168.1.29,192.168.1.100,6,440,126,38381,53,PA,40492.0,,0
1779557685.147199,192.168.1.21,192.168.1.100,6,78,101,34349,80,A,38396.0,,0
1779557685.154413,192.168.1.18,192.168.1.100,17,335,108,41224,22,,,,0
1779557685.204219,192.168.1.26,192.168.1.100,6,610,112,44564,53,SA,64666.0,,0
1779557685.215939,192.168.1.8,192.168.1.100,1,253,81,41861,3306,,,,0
1779557685.220302,192.168.1.25,192.168.1.100,6,134,125,48014,8080,A,26622.0,,0
1779557685.259058,192.168.1.37,192.168.1.100,17,574,110,51437,443,,,,0
1779557685.27428,192.168.1.6,192.168.1.100,6,387,117,51719,22,S,54605.0,,0
1779557685.283013,192.168.1.29,192.168.1.100,6,239,92,54441,22,A,55809.0,,0
1779557685.32662,192.168.1.42,192.168.1.100,6,195,76,58210,22,SA,59801.0,,0
1779557685.33425,192.168.1.42,192.168.1.100,17,411,111,35737,3306,,,,0
1779557685.373048,192.168.1.45,192.168.1.100,6,204,71,40411,8443,FA,14433.0,,0
1779557685.396474,192.168.1.35,192.168.1.100,17,480,126,41317,443,,,,0
1779557685.414179,192.168.1.35,192.168.1.100,6,458,97,46654,22,PA,43356.0,,0
1779557685.463441,192.168.1.16,192.168.1.100,17,705,117,56591,3306,,,,0
1779557685.472742,192.168.1.2,192.168.1.100,6,541,94,52885,22,SA,57106.0,,0
1779557685.485688,192.168.1.19,192.168.1.100,6,198,101,57650,22,A,59834.0,,0
1779557685.524786,192.168.1.8,192.168.1.100,6,375,116,42970,8080,A,38949.0,,0
1779557685.52811,192.168.1.26,192.168.1.100,6,497,89,42472,443,SA,46665.0,,0
1779557685.537984,192.168.1.42,192.168.1.100,6,283,75,30278,3306,A,65333.0,,0
1779557685.573802,192.168.1.47,192.168.1.100,6,263,70,30464,8443,PA,20461.0,,0
1779557685.584538,192.168.1.49,192.168.1.100,1,391,122,37143,53,,,,0
1779557685.623072,192.168.1.38,192.168.1.100,6,400,115,55796,80,FA,29565.0,,0
1779557685.636263,192.168.1.40,192.168.1.100,6,73,102,36457,22,FA,11353.0,,0
1779557685.669452,192.168.1.5,192.168.1.100,6,466,112,41686,22,SA,35078.0,,0
1779557685.731428,192.168.1.33,192.168.1.100,6,584,107,51993,3306,A,10250.0,,0
1779557685.782566,192.168.1.5,192.168.1.100,17,701,124,57652,8080,,,,0
1779557685.836867,192.168.1.41,192.168.1.100,6,938,77,57019,53,A,48578.0,,0
1779557685.837547,192.168.1.42,192.168.1.100,6,567,120,39499,53,SA,33345.0,,0
1779557685.871987,192.168.1.21,192.168.1.100,6,678,71,46465,22,S,30632.0,,0
1779557685.898023,192.168.1.18,192.168.1.100,6,462,124,35405,22,SA,38793.0,,0
1779557685.903552,192.168.1.30,192.168.1.100,6,510,93,42976,8080,FA,52650.0,,0
1779557685.927477,192.168.1.51,192.168.1.100,17,724,118,59863,443,,,,0
1779557685.934961,192.168.1.2,192.168.1.100,6,543,108,47525,53,A,25662.0,,0
1779557685.955717,192.168.1.41,192.168.1.100,6,510,87,38787,8443,A,18357.0,,0
1779557685.978342,192.168.1.13,192.168.1.100,6,261,77,57728,53,A,10327.0,,0
1779557685.991568,192.168.1.9,192.168.1.100,6,748,103,40326,53,A,29807.0,,0
1779557686.00335,192.168.1.7,192.168.1.100,6,450,121,46217,53,A,32896.0,,0
1779557686.008684,192.168.1.11,192.168.1.100,6,279,77,51133,22,SA,61170.0,,0
1779557686.017108,192.168.1.49,192.168.1.100,6,499,120,33820,443,A,35805.0,,0
1779557686.027309,192.168.1.46,192.168.1.100,6,428,68,44588,443,A,12103.0,,0
1779557686.037434,192.168.1.21,192.168.1.100,6,311,74,51279,22,A,32845.0,,0
1779557686.054738,192.168.1.25,192.168.1.100,6,56,82,32075,443,A,30625.0,,0
